LOG1;DATA_HORA
R.VICENTE DA FONTOURA;20090111 23:00
AV.CRISTOVAO COLOMBO;20090112 01:00
R.SARMENTO LEITE;20090112 02:45
AV.PROTASIO ALVES;20090112 06:50
AV.MAUA;20090112 07:04
R.DONA MARGARIDA;20090112 08:00
AV.PRESIDENTE CASTELO BRANCO;20090112 08:30
R.PROF ANNES DIAS;20090112 09:20
AV.NESTOR.VALDMAN;20090112 09:20
R.SOUZA REIS;20090112 09:20
AV.PRESIDENTE FRANKLIN ROOSEVELT;20090112 09:30
AV.MAUA;20090112 09:45
R.BARAO DO AMAZONAS;20090112 09:50
ESTR.COSTA GAMA;20090112 09:50
AV.CEARA;20090112 09:50
AV.WENCESLAU ESCOBAR;20090112 10:15
AV.DR.NILO PECANHA;20090112 10:20
AV.ASSIS BRASIL;20090112 10:29
AV.PROTASIO ALVES;20090112 10:30
AV.PROTASIO ALVES;20090112 10:40
R.JOSE DO PATROCINIO;20090112 11:38
R.RUDI SCHALY;20090112 11:40
R.CHAVES BARCELOS;20090112 11:45
AV.CARLOS GOMES;20090112 11:45
R.GEN CALDWELL;20090112 12:20
AV.DO FORTE;20090112 12:26
AV.IPIRANGA;20090112 12:50
AV.PRESIDENTE CASTELO BRANCO;20090112 13:35
AV.DR.CARLOS BARBOSA;20090112 13:40
R.EVARISTO DA VEIGA;20090112 13:45
R.FELIPE DE OLIVEIRA;20090112 14:00
R.ACELIO DAUDT;20090112 14:00
R.MUCIO TEIXEIRA;20090112 14:20
AV.FRANCISCO TREIN;20090112 14:50
AV.PLINIO BRASIL MILANO;20090112 15:05
AV.FRANCISCO TREIN;20090112 15:10
AV.OTTO NIEMEYER;20090112 15:15
AV.PROF OSCAR.PEREIRA;20090112 15:20
ESTR.JOAO ANTONIO SILVEIRA;20090112 15:30
AV.OTTO NIEMEYER;20090112 15:40
R.JOSE DE ALENCAR;20090112 15:50
AV.ASSIS BRASIL;20090112 16:00
AV.ASSIS BRASIL;20090112 16:05
R.MOURA AZEVEDO;20090112 16:11
R.CEL CLAUDINO;20090112 16:30
AV.GUIDO MONDIN;20090112 17:02
AV.PROTASIO ALVES;20090112 17:25
AV.IPIRANGA;20090112 17:30
R.MARECHAL JOSE INACIO DA SILVA;20090112 17:45
AV.CEL APARICIO BORGES;20090112 18:05
AV.PROTASIO ALVES;20090112 18:10
R.CABRAL;20090112 18:30
AV.SERTORIO;20090112 18:30
AV.FRANCISCO SILVEIRA BITENCOURT;20090112 18:35
AV.PROTASIO ALVES;20090112 19:00
AV.FARRAPOS;20090112 19:00
AV.IPIRANGA;20090112 20:30
AV.GOETHE;20090112 20:55
AV.GUAIBA;20090112 23:00
AV.ASSIS BRASIL;20090112 23:05
R.GUILHERME SCHELL;20090112 23:40
R.DR.SALVADOR.FRANCA;20090113 07:00
AV.SERTORIO;20090113 07:55
R.OSCAR.SCHNEIDER;20090113 08:05
AV.VENANCIO AIRES;20090113 09:00
R.PEDRO IVO;20090113 09:00
R.ZEFERINO DIAS;20090113 09:10
R.DONA FIRMINA;20090113 10:00
R.SANTOS DUMONT;20090113 10:10
R.MIGUEL TOSTES;20090113 10:50
R.CIPO;20090113 10:50
AV.GUAIBA;20090113 11:10
AV.DANTE ANGELO PILLA;20090113 11:40
R.SARMENTO LEITE;20090113 12:04
R.DR.ALCIDES CRUZ;20090113 12:20
AV.VENANCIO AIRES;20090113 13:20
AV.PARA;20090113 13:50
AV.IPIRANGA;20090113 14:30
R.JOSE ANTONIO ARANHA;20090113 14:30
AV.BERNARDINO SILVEIRA PASTORIZA;20090113 14:40
AV.ITAQUI;20090113 14:50
R.DR.CAMPOS VELHO;20090113 15:00
AV.IPIRANGA;20090113 15:20
R.BARAO DO COTEGIPE;20090113 15:20
R.VEADOR.PORTO;20090113 15:30
AV.PLINIO BRASIL MILANO;20090113 15:30
AV.CARLOS GOMES;20090113 15:40
R.CAIRU;20090113 15:45
R.DR.FLORENCIO YGARTUA;20090113 15:55
R.PEDRO IVO;20090113 16:00
AV.VICENTE MONTEGGIA;20090113 16:10
AV.MANOEL ELIAS;20090113 16:20
R.VOLUNTARIOS DA PATRIA;20090113 16:40
R.LUIZ AFONSO;20090113 16:45
R.VOLUNTARIOS DA PATRIA;20090113 17:10
R.BENTO DE AMARAL;20090113 17:30
